children,probability
0,0.18383261272390364
1,0.17096973440395305
2,0.19797714638665842
3,0.14495058678196418
4,0.0980543545398394
5,0.06460778258184065
6,0.0435762816553428
7,0.030342804200123533
8,0.021525633106856085
9,0.014916615194564546
10,0.011936380481778875
11,0.006485484867201977
12,0.010824583075972822
