children,probability
0,0.2030853954302595
1,0.17062674374076844
2,0.24007549371797443
3,0.162977078356644
4,0.09283539087146009
5,0.05048414449570561
6,0.02899396414960156
7,0.017487554477652767
8,0.011624938456208173
9,0.00816936851510786
10,0.004996444136472219
11,0.003072630791954631
12,0.00557085286019074
