children,probability
0,0.20644068975914093
1,0.19623577980587478
2,0.22359189637377802
3,0.1405494416290747
4,0.08481671749794162
5,0.04930826945600872
6,0.03178597520670741
7,0.021140398687277493
8,0.015748031496062992
9,0.010135331021766609
10,0.00797838414528081
11,0.004534227036053483
12,0.007734857885032412
