children,probability
0,0.13546060422191994
1,0.12405600519339864
2,0.2341857422939033
3,0.20040092254593972
4,0.12982191731665704
5,0.0718284221137002
6,0.041465634511308365
7,0.02335398296486953
8,0.014753232009864848
9,0.009355946800285767
10,0.0059958961711733755
11,0.003513373327722375
12,0.005808320529256907
