children,probability
0,0.1026774689649652
1,0.09349767269172404
2,0.22887497253725142
3,0.22894820653349435
4,0.15545533662943087
5,0.08660516146393056
6,0.04615274567876844
7,0.024676450501482563
8,0.01419206722540232
9,0.008181770184907325
10,0.004831740635841399
11,0.002435456154125203
12,0.003470950798676338
